,blueGoldDiff,blueExperienceDiff,blueGoldPerMin,blueTotalGold,blueTotalExperience,blueAvgLevel,blueKills,redDeaths,blueAssists,blueTotalMinionsKilled,blueCSPerMin,blueEliteMonsters,blueDragons,blueFirstBlood,redFirstBlood,redDragons,redTotalMinionsKilled,redCSPerMin,redEliteMonsters,redAssists,blueDeaths,redKills,redAvgLevel,redTotalExperience,redTotalGold,redGoldPerMin,redExperienceDiff,redGoldDiff,blueWins
61,-49,500,1650.5,16505,17667,7.0,6,6,5,208,20.8,0,0,0,1,1,207,20.7,1,10,7,7,6.8,17167,16554,1655.4,-500,49,0
62,1687,1089,1727.7,17277,19610,7.2,6,6,4,229,22.9,1,1,1,0,0,232,23.2,1,5,4,4,7.2,18521,15590,1559.0,-1089,-1687,1
63,3933,2922,1826.9,18269,19659,7.2,9,9,10,229,22.9,2,1,1,0,0,233,23.3,0,1,1,1,6.4,16737,14336,1433.6,-2922,-3933,1
64,-4061,-4397,1416.6,14166,15959,6.6,4,4,3,203,20.3,1,1,0,1,0,224,22.4,0,6,10,10,7.4,20356,18227,1822.7,4397,4061,0
65,-4920,-3280,1545.6,15456,16280,6.6,6,6,7,188,18.8,0,0,0,1,0,240,24.0,1,11,12,12,7.4,19560,20376,2037.6,3280,4920,0
66,-1705,-1839,1518.0,15180,17773,7.0,4,4,2,210,21.0,0,0,0,1,0,227,22.7,0,1,5,5,7.2,19612,16885,1688.5,1839,1705,0
67,105,-1547,1617.9,16179,16814,6.8,7,7,8,212,21.2,1,1,1,0,0,200,20.0,1,5,8,8,7.0,18361,16074,1607.4,1547,-105,0
68,-554,521,1602.6,16026,18490,7.0,3,3,3,233,23.3,0,0,0,1,1,234,23.4,1,6,5,5,6.8,17969,16580,1658.0,-521,554,1
69,-1037,-1577,1485.0,14850,17145,6.8,4,4,4,198,19.8,0,0,1,0,1,241,24.1,1,5,5,5,7.0,18722,15887,1588.7,1577,1037,0
70,-1144,480,1734.7,17347,18573,7.0,9,9,7,202,20.2,1,0,1,0,1,199,19.9,1,11,8,8,7.0,18093,18491,1849.1,-480,1144,0
71,1173,953,1588.7,15887,17591,6.8,5,5,6,200,20.0,0,0,1,0,1,186,18.6,1,3,4,4,6.6,16638,14714,1471.4,-953,-1173,1
72,3194,2534,1739.9,17399,19449,7.0,8,8,11,232,23.2,0,0,1,0,1,208,20.8,1,2,2,2,6.6,16915,14205,1420.5,-2534,-3194,0
73,-2622,-1136,1382.8,13828,16629,6.6,2,2,1,204,20.4,1,1,1,0,0,192,19.2,0,7,7,7,6.8,17765,16450,1645.0,1136,2622,0
74,1151,470,1664.5,16645,19110,7.2,6,6,4,242,24.2,1,1,1,0,0,205,20.5,1,3,4,4,7.0,18640,15494,1549.4,-470,-1151,1
75,1463,1490,1624.8,16248,17200,6.8,6,6,8,200,20.0,2,1,1,0,0,169,16.9,0,8,4,4,6.6,15710,14785,1478.5,-1490,-1463,1
76,-1038,-1307,1531.0,15310,18337,7.0,4,4,1,221,22.1,0,0,0,1,1,226,22.6,2,5,6,6,7.2,19644,16348,1634.8,1307,1038,0
77,1424,1060,1678.4,16784,17242,6.6,8,8,7,212,21.2,1,0,1,0,0,180,18.0,0,5,4,4,6.4,16182,15360,1536.0,-1060,-1424,1
78,527,721,1903.2,19032,18951,7.4,13,13,18,232,23.2,1,1,0,1,0,216,21.6,0,5,9,9,7.0,18230,18505,1850.5,-721,-527,1
79,1807,932,1751.8,17518,18342,7.2,7,7,12,242,24.2,0,0,0,1,1,198,19.8,2,9,6,6,6.8,17410,15711,1571.1,-932,-1807,0
80,2856,1262,1897.6,18976,20326,7.4,11,11,12,256,25.6,1,0,1,0,1,210,21.0,1,6,4,4,7.2,19064,16120,1612.0,-1262,-2856,0
81,-964,-2454,1614.3,16143,16617,6.6,6,6,10,204,20.4,1,1,0,1,0,241,24.1,1,3,6,6,7.0,19071,17107,1710.7,2454,964,0
82,-178,524,1586.8,15868,17111,7.0,7,7,6,199,19.9,1,0,0,1,1,178,17.8,1,6,8,8,6.8,16587,16046,1604.6,-524,178,0
83,705,192,1797.7,17977,18162,7.0,9,9,7,235,23.5,1,1,0,1,0,207,20.7,0,8,8,8,7.0,17970,17272,1727.2,-192,-705,1
84,908,306,1813.8,18138,18159,7.0,10,10,14,208,20.8,1,1,0,1,0,210,21.0,0,16,10,10,7.0,17853,17230,1723.0,-306,-908,1
85,3558,3243,1802.5,18025,19864,7.2,7,7,12,261,26.1,2,1,0,1,0,220,22.0,0,3,2,2,6.8,16621,14467,1446.7,-3243,-3558,1
86,-1299,-49,1462.5,14625,17769,6.8,1,1,0,241,24.1,0,0,0,1,1,218,21.8,1,3,6,6,7.0,17818,15924,1592.4,49,1299,0
87,-1763,-1864,1575.2,15752,17113,6.6,5,5,7,201,20.1,1,1,0,1,0,248,24.8,0,6,8,8,7.2,18977,17515,1751.5,1864,1763,1
88,2547,2189,1848.0,18480,19565,7.4,10,10,12,232,23.2,0,0,0,1,0,247,24.7,0,4,4,4,6.6,17376,15933,1593.3,-2189,-2547,1
89,-3685,-3119,1499.5,14995,16206,6.6,3,3,2,210,21.0,1,1,0,1,0,200,20.0,1,13,10,10,7.4,19325,18680,1868.0,3119,3685,0
90,-3689,-4682,1565.5,15655,15827,6.4,7,7,3,194,19.4,0,0,1,0,1,216,21.6,1,7,11,11,7.2,20509,19344,1934.4,4682,3689,0
91,-764,803,1556.2,15562,18590,7.2,3,3,2,236,23.6,0,0,1,0,1,233,23.3,2,6,5,5,6.8,17787,16326,1632.6,-803,764,0
92,3037,2694,1713.9,17139,19137,7.2,9,9,5,223,22.3,0,0,1,0,1,213,21.3,1,2,2,2,6.6,16443,14102,1410.2,-2694,-3037,1
93,3545,2162,1922.9,19229,18820,7.2,7,7,6,257,25.7,0,0,1,0,1,145,14.5,1,10,7,7,6.6,16658,15684,1568.4,-2162,-3545,1
94,-1031,-394,1697.2,16972,19060,7.2,7,7,10,209,20.9,1,1,0,1,0,255,25.5,0,7,7,7,7.4,19454,18003,1800.3,394,1031,0
95,-1796,-749,1624.9,16249,18383,7.0,5,5,6,213,21.3,0,0,0,1,1,214,21.4,1,15,10,10,7.0,19132,18045,1804.5,749,1796,0
96,1626,747,1641.5,16415,17645,6.8,5,5,9,247,24.7,0,0,1,0,1,203,20.3,1,5,4,4,7.0,16898,14789,1478.9,-747,-1626,1
97,832,1330,1801.2,18012,19837,7.2,6,6,10,250,25.0,1,0,0,1,1,186,18.6,1,11,8,8,7.0,18507,17180,1718.0,-1330,-832,1
98,2750,2647,1929.4,19294,20668,7.4,11,11,11,242,24.2,2,1,0,1,0,203,20.3,0,9,6,6,7.0,18021,16544,1654.4,-2647,-2750,1
99,-1524,-827,1538.3,15383,17243,6.8,5,5,4,227,22.7,1,0,0,1,0,186,18.6,0,11,8,8,7.0,18070,16907,1690.7,827,1524,0
100,-1370,-875,1577.7,15777,17401,6.6,6,6,2,224,22.4,1,1,1,0,0,210,21.0,0,9,8,8,7.0,18276,17147,1714.7,875,1370,0
101,-1506,-412,1480.5,14805,17323,6.6,4,4,4,209,20.9,0,0,0,1,1,231,23.1,1,7,6,6,7.0,17735,16311,1631.1,412,1506,0
102,-1101,-718,1524.4,15244,16787,6.6,6,6,2,199,19.9,0,0,0,1,1,212,21.2,2,5,7,7,7.0,17505,16345,1634.5,718,1101,0
103,2774,2207,1757.4,17574,19195,7.2,8,8,7,252,25.2,1,0,0,1,1,225,22.5,1,2,3,3,6.6,16988,14800,1480.0,-2207,-2774,0
104,-1806,-588,1665.5,16655,17831,7.0,8,8,9,222,22.2,0,0,0,1,1,215,21.5,2,13,11,11,7.0,18419,18461,1846.1,588,1806,0
105,1265,1248,1685.5,16855,18370,7.0,6,6,8,248,24.8,1,1,0,1,0,207,20.7,1,4,4,4,6.8,17122,15590,1559.0,-1248,-1265,0
106,-4443,-4140,1578.6,15786,16995,6.6,6,6,4,200,20.0,0,0,0,1,1,227,22.7,1,9,14,14,7.6,21135,20229,2022.9,4140,4443,1
107,-927,967,1514.3,15143,19080,7.2,3,3,1,233,23.3,0,0,0,1,1,216,21.6,1,7,5,5,7.0,18113,16070,1607.0,-967,927,0
108,1425,728,1730.9,17309,18904,7.0,9,9,9,221,22.1,0,0,1,0,1,208,20.8,2,3,5,5,6.8,18176,15884,1588.4,-728,-1425,1
109,1177,1161,1641.6,16416,19684,7.4,6,6,6,211,21.1,1,1,0,1,0,204,20.4,0,2,4,4,7.0,18523,15239,1523.9,-1161,-1177,1
110,-1586,410,1522.2,15222,17812,7.0,2,2,2,231,23.1,1,1,1,0,0,211,21.1,1,14,7,7,6.8,17402,16808,1680.8,-410,1586,1
111,-2896,-2081,1552.6,15526,17629,6.8,5,5,3,232,23.2,2,1,0,1,0,236,23.6,0,6,10,10,7.4,19710,18422,1842.2,2081,2896,0
112,905,1054,1759.7,17597,15938,6.4,12,12,10,143,14.3,0,0,0,1,0,181,18.1,0,9,9,9,6.2,14884,16692,1669.2,-1054,-905,1
113,-3887,-3392,1683.4,16834,14815,6.2,9,9,17,187,18.7,0,0,1,0,0,211,21.1,0,21,17,17,7.0,18207,20721,2072.1,3392,3887,0
114,3413,2984,1905.8,19058,19575,7.2,12,12,12,202,20.2,1,1,1,0,0,210,21.0,0,7,6,6,6.6,16591,15645,1564.5,-2984,-3413,1
115,-256,-1580,1680.6,16806,18034,7.0,7,7,5,228,22.8,2,1,1,0,0,230,23.0,0,7,9,9,7.4,19614,17062,1706.2,1580,256,0
116,-1820,-1412,1664.3,16643,17554,6.8,7,7,7,227,22.7,0,0,1,0,0,231,23.1,0,11,10,10,7.2,18966,18463,1846.3,1412,1820,1
117,625,-534,1618.9,16189,17737,6.8,6,6,12,224,22.4,1,1,1,0,0,217,21.7,0,4,4,4,7.0,18271,15564,1556.4,534,-625,1
118,-3628,-2009,1409.5,14095,17286,6.8,2,2,1,196,19.6,0,0,0,1,1,266,26.6,1,4,6,6,7.0,19295,17723,1772.3,2009,3628,0
119,769,480,1680.4,16804,17544,6.8,5,5,7,217,21.7,1,0,1,0,1,233,23.3,1,6,5,5,6.4,17064,16035,1603.5,-480,-769,0
120,-576,-682,1730.5,17305,18192,7.0,8,8,8,229,22.9,1,1,0,1,0,198,19.8,1,6,8,8,7.0,18874,17881,1788.1,682,576,0
121,-3900,-3550,1453.9,14539,16806,6.4,3,3,2,213,21.3,0,0,0,1,1,255,25.5,1,8,9,9,7.6,20356,18439,1843.9,3550,3900,0
122,-7,-231,1753.0,17530,18299,7.0,9,9,10,192,19.2,1,1,0,1,0,209,20.9,1,8,8,8,7.2,18530,17537,1753.7,231,7,1
123,1683,1433,1843.1,18431,19562,7.2,10,10,10,207,20.7,0,0,1,0,1,231,23.1,1,5,7,7,7.0,18129,16748,1674.8,-1433,-1683,1
124,-4782,-3408,1403.2,14032,16550,6.8,3,3,2,193,19.3,0,0,0,1,1,245,24.5,1,11,10,10,7.4,19958,18814,1881.4,3408,4782,0
125,636,-214,1786.9,17869,17810,7.0,9,9,11,205,20.5,1,1,1,0,0,215,21.5,0,9,7,7,6.8,18024,17233,1723.3,214,-636,1
126,-3421,-2624,1597.4,15974,16174,6.2,7,7,6,183,18.3,1,1,0,1,0,219,21.9,0,12,14,14,7.2,18798,19395,1939.5,2624,3421,1
127,976,1599,1610.8,16108,18920,7.2,5,5,6,240,24.0,1,1,0,1,0,230,23.0,0,5,3,3,6.8,17321,15132,1513.2,-1599,-976,1
128,-211,-1305,1630.2,16302,17297,6.8,6,6,6,212,21.2,0,0,0,1,0,211,21.1,1,7,7,7,7.2,18602,16513,1651.3,1305,211,0
129,1221,462,1675.0,16750,17603,6.8,7,7,6,215,21.5,0,0,0,1,0,197,19.7,0,5,5,5,6.8,17141,15529,1552.9,-462,-1221,1
130,2037,1291,1650.6,16506,18669,7.2,7,7,8,226,22.6,0,0,0,1,1,217,21.7,1,0,1,1,6.6,17378,14469,1446.9,-1291,-2037,1
131,817,-94,1638.9,16389,17937,7.0,6,6,11,241,24.1,1,1,1,0,0,229,22.9,0,3,3,3,6.8,18031,15572,1557.2,94,-817,1
132,-137,-351,1576.0,15760,18295,7.0,4,4,4,215,21.5,0,0,1,0,1,227,22.7,1,1,4,4,7.0,18646,15897,1589.7,351,137,1
133,-1539,-1497,1517.6,15176,16820,6.4,4,4,4,226,22.6,1,1,1,0,0,205,20.5,0,12,7,7,7.2,18317,16715,1671.5,1497,1539,1
134,-1707,-1286,1519.6,15196,16908,6.4,5,5,4,191,19.1,0,0,0,1,1,216,21.6,1,10,7,7,7.0,18194,16903,1690.3,1286,1707,0
135,-556,-235,1625.0,16250,17537,7.0,6,6,2,228,22.8,1,1,0,1,0,143,14.3,0,13,9,9,6.8,17772,16806,1680.6,235,556,1
136,-146,-717,1654.1,16541,16779,6.6,9,9,15,199,19.9,1,1,1,0,0,225,22.5,1,8,7,7,6.8,17496,16687,1668.7,717,146,1
137,4083,2884,1865.7,18657,19205,7.2,12,12,9,227,22.7,1,0,1,0,1,191,19.1,1,1,4,4,6.6,16321,14574,1457.4,-2884,-4083,1
138,1389,1418,1687.3,16873,19105,7.2,5,5,6,223,22.3,0,0,0,1,1,226,22.6,1,7,5,5,6.8,17687,15484,1548.4,-1418,-1389,1
139,-890,-528,1438.3,14383,15898,6.4,3,3,3,211,21.1,1,1,0,1,0,208,20.8,1,5,4,4,6.4,16426,15273,1527.3,528,890,0
140,-2519,-1095,1442.0,14420,15196,6.4,4,4,5,192,19.2,0,0,1,0,0,194,19.4,0,15,9,9,6.4,16291,16939,1693.9,1095,2519,0
141,-4440,-4020,1472.0,14720,15031,6.2,4,4,4,183,18.3,0,0,0,1,0,201,20.1,0,14,15,15,7.4,19051,19160,1916.0,4020,4440,0
142,1140,705,1740.6,17406,19761,7.2,7,7,7,251,25.1,0,0,1,0,1,190,19.0,2,4,6,6,7.2,19056,16266,1626.6,-705,-1140,1
143,-1656,-1832,1521.0,15210,15974,6.4,5,5,2,172,17.2,0,0,1,0,0,219,21.9,0,3,7,7,6.8,17806,16866,1686.6,1832,1656,0
144,2171,-261,1727.2,17272,15840,6.4,10,10,16,192,19.2,0,0,0,1,1,199,19.9,2,6,5,5,6.6,16101,15101,1510.1,261,-2171,1
145,3841,2484,1935.8,19358,19257,7.2,12,12,15,206,20.6,0,0,1,0,0,216,21.6,0,3,4,4,6.8,16773,15517,1551.7,-2484,-3841,1
146,-885,-2172,1685.5,16855,16360,6.6,4,4,5,232,23.2,1,0,0,1,1,216,21.6,1,15,11,11,7.2,18532,17740,1774.0,2172,885,1
147,-2752,-2286,1520.9,15209,16256,6.6,3,3,4,191,19.1,2,1,0,1,0,241,24.1,0,9,8,8,7.2,18542,17961,1796.1,2286,2752,0
148,2081,466,1954.2,19542,17935,7.0,13,13,22,207,20.7,0,0,1,0,0,200,20.0,0,11,9,9,7.0,17469,17461,1746.1,-466,-2081,1
149,453,-19,1526.7,15267,17321,6.6,4,4,4,232,23.2,0,0,1,0,0,209,20.9,0,3,3,3,6.8,17340,14814,1481.4,19,-453,0
150,830,-1002,1524.3,15243,17194,6.6,3,3,3,224,22.4,1,1,1,0,0,220,22.0,1,1,1,1,6.8,18196,14413,1441.3,1002,-830,0
151,94,-445,1621.4,16214,17234,6.8,8,8,3,203,20.3,0,0,0,1,0,168,16.8,0,6,8,8,7.0,17679,16120,1612.0,445,-94,0
152,-722,891,1597.6,15976,18227,7.0,8,8,12,178,17.8,2,1,0,1,0,232,23.2,0,6,6,6,6.6,17336,16698,1669.8,-891,722,0
153,-1491,-799,1655.7,16557,17632,6.8,6,6,10,230,23.0,1,0,0,1,1,222,22.2,1,11,7,7,7.0,18431,18048,1804.8,799,1491,0
154,-3109,-1745,1614.2,16142,16953,6.8,6,6,3,198,19.8,0,0,0,1,1,201,20.1,2,16,14,14,7.0,18698,19251,1925.1,1745,3109,0
155,537,-477,1798.4,17984,18708,7.2,7,7,9,230,23.0,0,0,1,0,1,178,17.8,1,11,11,11,7.2,19185,17447,1744.7,477,-537,0
156,4079,5568,2003.8,20038,21588,7.8,13,13,10,222,22.2,2,1,0,1,0,208,20.8,0,6,5,5,6.6,16020,15959,1595.9,-5568,-4079,1
157,4006,2081,1957.1,19571,18463,7.2,10,10,13,213,21.3,0,0,0,1,0,210,21.0,0,6,5,5,6.6,16382,15565,1556.5,-2081,-4006,1
158,-3582,-5395,1455.7,14557,15128,6.4,3,3,4,200,20.0,0,0,1,0,1,246,24.6,2,10,10,10,7.6,20523,18139,1813.9,5395,3582,0
159,-355,233,1602.9,16029,18567,7.0,6,6,5,205,20.5,0,0,0,1,1,224,22.4,1,5,6,6,7.0,18334,16384,1638.4,-233,355,1
160,3464,994,1805.3,18053,16741,6.6,7,7,8,207,20.7,0,0,1,0,0,178,17.8,0,6,6,6,6.4,15747,14589,1458.9,-994,-3464,1
161,2217,2183,1809.8,18098,18905,7.0,9,9,9,225,22.5,1,1,1,0,0,229,22.9,1,3,5,5,6.6,16722,15881,1588.1,-2183,-2217,1
162,3049,1511,1834.3,18343,19519,7.2,8,8,9,235,23.5,2,1,1,0,0,234,23.4,0,2,3,3,7.0,18008,15294,1529.4,-1511,-3049,1
